#时间: 20240828 112607
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.010000
#干涉仪湿度: 55.218025
#激光波长: 790.553682
#动镜速度: 10k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
6317.7417 -0.384276 
6323.8895 -0.384197 
6330.0374 -0.384125 
6336.1852 -0.384032 
6342.3331 -0.383929 
6348.4809 -0.383872 
6354.6288 -0.383886 
6360.7767 -0.383928 
6366.9245 -0.383959 
6373.0724 -0.383979 
6379.2202 -0.383999 
6385.3681 -0.383997 
6391.5159 -0.383950 
6397.6638 -0.383871 
6403.8116 -0.383763 
6409.9595 -0.383623 
6416.1074 -0.383470 
6422.2552 -0.383324 
6428.4031 -0.383192 
6434.5509 -0.383073 
6440.6988 -0.382968 
6446.8466 -0.382864 
6452.9945 -0.382718 
6459.1423 -0.382501 
6465.2902 -0.382256 
6471.4381 -0.382043 
6477.5859 -0.381890 
6483.7338 -0.381786 
6489.8816 -0.381687 
6496.0295 -0.381596 
6502.1773 -0.381527 
6508.3252 -0.381441 
6514.4730 -0.381307 
6520.6209 -0.381125 
6526.7688 -0.380907 
6532.9166 -0.380682 
6539.0645 -0.380481 
6545.2123 -0.380308 
6551.3602 -0.380168 
6557.5080 -0.380058 
6563.6559 -0.379943 
6569.8037 -0.379773 
6575.9516 -0.379555 
6582.0995 -0.379338 
6588.2473 -0.379147 
6594.3952 -0.378971 
6600.5430 -0.378820 
6606.6909 -0.378690 
6612.8387 -0.378565 
6618.9866 -0.378460 
6625.1345 -0.378383 
6631.2823 -0.378307 
6637.4302 -0.378221 
6643.5780 -0.378125 
6649.7259 -0.378014 
6655.8737 -0.377912 
6662.0216 -0.377837 
6668.1694 -0.377753 
6674.3173 -0.377597 
6680.4652 -0.377370 
6686.6130 -0.377148 
6692.7609 -0.376980 
6698.9087 -0.376862 
6705.0566 -0.376812 
6711.2044 -0.376824 
6717.3523 -0.376845 
6723.5001 -0.376874 
6729.6480 -0.376941 
6735.7959 -0.376998 
6741.9437 -0.376950 
6748.0916 -0.376796 
6754.2394 -0.376644 
6760.3873 -0.376588 
6766.5351 -0.376623 
6772.6830 -0.376641 
6778.8308 -0.376527 
6784.9787 -0.376271 
6791.1266 -0.375995 
6797.2744 -0.375861 
6803.4223 -0.375907 
6809.5701 -0.376003 
6815.7180 -0.376026 
6821.8658 -0.375985 
6828.0137 -0.375934 
6834.1616 -0.375868 
6840.3094 -0.375806 
6846.4573 -0.375815 
6852.6051 -0.375883 
6858.7530 -0.375903 
6864.9008 -0.375825 
6871.0487 -0.375694 
6877.1965 -0.375556 
6883.3444 -0.375451 
6889.4923 -0.375475 
6895.6401 -0.375631 
6901.7880 -0.375677 
6907.9358 -0.375512 
6914.0837 -0.375437 
6920.2315 -0.375664 
6926.3794 -0.376022 
