#时间: 20240902 141218
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.000000
#干涉仪湿度: 59.367676
#激光波长: 790.553151
#动镜速度: 7.5k
#增益: Default
#累积帧数: 4
#校正: 功率谱
#XUnit: cm-1
7325.9900 -0.355298 
7332.1379 -0.353455 
7338.2857 -0.351847 
7344.4336 -0.352545 
7350.5814 -0.354736 
7356.7293 -0.356337 
7362.8772 -0.356991 
7369.0250 -0.356860 
7375.1729 -0.356610 
7381.3207 -0.357095 
7387.4686 -0.358033 
7393.6164 -0.358900 
7399.7643 -0.359594 
7405.9121 -0.359991 
7412.0600 -0.360216 
7418.2079 -0.360505 
7424.3557 -0.360765 
7430.5036 -0.360874 
7436.6514 -0.360837 
7442.7993 -0.360675 
7448.9471 -0.360477 
7455.0950 -0.360309 
7461.2428 -0.360112 
7467.3907 -0.359807 
7473.5386 -0.359498 
7479.6864 -0.359309 
7485.8343 -0.359173 
7491.9821 -0.359043 
7498.1300 -0.358910 
7504.2778 -0.358656 
7510.4257 -0.358323 
7516.5736 -0.358120 
7522.7214 -0.358093 
7528.8693 -0.358059 
7535.0171 -0.357783 
7541.1650 -0.357295 
7547.3128 -0.356854 
7553.4607 -0.356519 
7559.6085 -0.356195 
7565.7564 -0.355889 
7571.9043 -0.355636 
7578.0521 -0.355463 
7584.2000 -0.355292 
7590.3478 -0.354977 
7596.4957 -0.354617 
7602.6435 -0.354416 
7608.7914 -0.354302 
7614.9392 -0.354052 
7621.0871 -0.353678 
7627.2350 -0.353382 
7633.3828 -0.353175 
7639.5307 -0.352912 
7645.6785 -0.352655 
7651.8264 -0.352435 
7657.9742 -0.352088 
7664.1221 -0.351591 
7670.2699 -0.351061 
7676.4178 -0.350568 
7682.5657 -0.350183 
7688.7135 -0.349893 
7694.8614 -0.349601 
7701.0092 -0.349237 
7707.1571 -0.348807 
7713.3049 -0.348429 
7719.4528 -0.348152 
7725.6007 -0.347885 
7731.7485 -0.347597 
7737.8964 -0.347296 
7744.0442 -0.346996 
7750.1921 -0.346718 
7756.3399 -0.346391 
7762.4878 -0.345975 
7768.6356 -0.345504 
7774.7835 -0.344975 
7780.9314 -0.344469 
7787.0792 -0.344093 
7793.2271 -0.343763 
7799.3749 -0.343358 
7805.5228 -0.342900 
7811.6706 -0.342500 
7817.8185 -0.342175 
7823.9663 -0.341811 
7830.1142 -0.341406 
7836.2621 -0.341034 
7842.4099 -0.340648 
7848.5578 -0.340264 
7854.7056 -0.339951 
7860.8535 -0.339608 
7867.0013 -0.339119 
7873.1492 -0.338520 
7879.2970 -0.337978 
7885.4449 -0.337643 
7891.5928 -0.337417 
7897.7406 -0.337064 
7903.8885 -0.336520 
7910.0363 -0.335916 
7916.1842 -0.335391 
7922.3320 -0.334965 
7928.4799 -0.334566 
7934.6278 -0.334150 
7940.7756 -0.333723 
7946.9235 -0.333348 
7953.0713 -0.333012 
7959.2192 -0.332573 
7965.3670 -0.332032 
7971.5149 -0.331526 
7977.6627 -0.331105 
7983.8106 -0.330759 
7989.9585 -0.330390 
7996.1063 -0.329917 
8002.2542 -0.329450 
8008.4020 -0.329033 
8014.5499 -0.328551 
8020.6977 -0.327963 
8026.8456 -0.327345 
8032.9934 -0.326889 
8039.1413 -0.326665 
8045.2892 -0.326421 
8051.4370 -0.326005 
8057.5849 -0.325540 
8063.7327 -0.325156 
8069.8806 -0.324877 
8076.0284 -0.324545 
8082.1763 -0.324044 
8088.3241 -0.323510 
8094.4720 -0.322967 
8100.6199 -0.322344 
8106.7677 -0.321817 
8112.9156 -0.321474 
8119.0634 -0.321099 
8125.2113 -0.320564 
8131.3591 -0.320003 
8137.5070 -0.319550 
8143.6548 -0.319104 
8149.8027 -0.318504 
8155.9506 -0.317782 
8162.0984 -0.317057 
8168.2463 -0.316400 
8174.3941 -0.315788 
8180.5420 -0.315183 
8186.6898 -0.314739 
8192.8377 -0.314591 
8198.9856 -0.314425 
8205.1334 -0.313843 
8211.2813 -0.312981 
8217.4291 -0.312272 
8223.5770 -0.311822 
8229.7248 -0.311367 
8235.8727 -0.310722 
8242.0205 -0.310035 
8248.1684 -0.309511 
8254.3163 -0.309050 
8260.4641 -0.308446 
8266.6120 -0.307803 
8272.7598 -0.307266 
8278.9077 -0.306729 
8285.0555 -0.306185 
8291.2034 -0.305706 
8297.3512 -0.305115 
8303.4991 -0.304362 
8309.6470 -0.303679 
8315.7948 -0.303127 
8321.9427 -0.302560 
8328.0905 -0.301919 
8334.2384 -0.301347 
8340.3862 -0.301027 
8346.5341 -0.300886 
8352.6819 -0.300686 
8358.8298 -0.300270 
8364.9777 -0.299598 
8371.1255 -0.298791 
8377.2734 -0.298066 
8383.4212 -0.297515 
8389.5691 -0.297040 
8395.7169 -0.296499 
8401.8648 -0.295873 
8408.0127 -0.295186 
8414.1605 -0.294445 
8420.3084 -0.293807 
8426.4562 -0.293369 
8432.6041 -0.292950 
8438.7519 -0.292489 
8444.8998 -0.292051 
8451.0476 -0.291501 
8457.1955 -0.290864 
8463.3434 -0.290398 
8469.4912 -0.290082 
8475.6391 -0.289688 
8481.7869 -0.289130 
8487.9348 -0.288550 
8494.0826 -0.288114 
8500.2305 -0.287769 
8506.3783 -0.287397 
8512.5262 -0.287012 
8518.6741 -0.286656 
8524.8219 -0.286293 
8530.9698 -0.285729 
8537.1176 -0.284923 
8543.2655 -0.284206 
8549.4133 -0.283730 
8555.5612 -0.283287 
8561.7090 -0.282720 
8567.8569 -0.282027 
8574.0048 -0.281325 
8580.1526 -0.280709 
8586.3005 -0.280155 
8592.4483 -0.279718 
8598.5962 -0.279334 
8604.7440 -0.278818 
8610.8919 -0.278258 
8617.0398 -0.277755 
8623.1876 -0.277199 
8629.3355 -0.276499 
8635.4833 -0.275620 
8641.6312 -0.274752 
8647.7790 -0.274086 
8653.9269 -0.273420 
8660.0747 -0.272704 
8666.2226 -0.272197 
8672.3705 -0.271961 
8678.5183 -0.271814 
8684.6662 -0.271365 
8690.8140 -0.270484 
8696.9619 -0.269682 
8703.1097 -0.269133 
8709.2576 -0.268380 
8715.4054 -0.267389 
8721.5533 -0.266479 
8727.7012 -0.265631 
8733.8490 -0.264896 
8739.9969 -0.264574 
8746.1447 -0.264472 
8752.2926 -0.264113 
8758.4404 -0.263578 
8764.5883 -0.263068 
8770.7361 -0.262442 
8776.8840 -0.261788 
8783.0319 -0.261262 
8789.1797 -0.260449 
8795.3276 -0.258845 
8801.4754 -0.256672 
8807.6233 -0.255141 
8813.7711 -0.255269 
8819.9190 -0.256226 
8826.0668 -0.256565 
8832.2147 -0.256087 
8838.3626 -0.255064 
8844.5104 -0.253596 
8850.6583 -0.252150 
8856.8061 -0.251309 
8862.9540 -0.250972 
8869.1018 -0.250355 
8875.2497 -0.249158 
8881.3976 -0.248096 
8887.5454 -0.247503 
8893.6933 -0.246790 
8899.8411 -0.245685 
8905.9890 -0.244790 
8912.1368 -0.244599 
8918.2847 -0.244467 
8924.4325 -0.243737 
8930.5804 -0.242920 
8936.7283 -0.242433 
8942.8761 -0.242026 
8949.0240 -0.241701 
8955.1718 -0.241458 
8961.3197 -0.240909 
8967.4675 -0.240031 
8973.6154 -0.239397 
8979.7632 -0.239218 
8985.9111 -0.238844 
8992.0590 -0.237804 
8998.2068 -0.236570 
9004.3547 -0.235696 
9010.5025 -0.235238 
9016.6504 -0.235010 
9022.7982 -0.234535 
9028.9461 -0.233488 
9035.0939 -0.232299 
9041.2418 -0.231599 
9047.3897 -0.231356 
9053.5375 -0.230823 
9059.6854 -0.229582 
9065.8332 -0.228176 
9071.9811 -0.227225 
9078.1289 -0.226703 
9084.2768 -0.226136 
9090.4247 -0.225204 
9096.5725 -0.224157 
9102.7204 -0.223222 
9108.8682 -0.222214 
9115.0161 -0.221180 
9121.1639 -0.220316 
9127.3118 -0.219448 
9133.4596 -0.218478 
9139.6075 -0.217551 
9145.7554 -0.216614 
9151.9032 -0.215501 
9158.0511 -0.214340 
9164.1989 -0.213504 
9170.3468 -0.213034 
9176.4946 -0.212597 
9182.6425 -0.211956 
9188.7903 -0.211049 
9194.9382 -0.209984 
9201.0861 -0.208815 
9207.2339 -0.207275 
9213.3818 -0.205506 
9219.5296 -0.204196 
9225.6775 -0.203507 
9231.8253 -0.202969 
9237.9732 -0.202106 
9244.1210 -0.200949 
9250.2689 -0.200151 
9256.4168 -0.199891 
9262.5646 -0.199518 
9268.7125 -0.198778 
9274.8603 -0.197909 
9281.0082 -0.196851 
9287.1560 -0.195478 
9293.3039 -0.194049 
9299.4518 -0.192881 
9305.5996 -0.191904 
9311.7475 -0.190855 
9317.8953 -0.189757 
9324.0432 -0.188719 
9330.1910 -0.187577 
9336.3389 -0.186061 
9342.4867 -0.184202 
9348.6346 -0.182630 
9354.7825 -0.181890 
9360.9303 -0.181624 
9367.0782 -0.181192 
9373.2260 -0.180185 
9379.3739 -0.178483 
9385.5217 -0.176735 
9391.6696 -0.175669 
9397.8174 -0.175200 
9403.9653 -0.174961 
9410.1132 -0.174457 
9416.2610 -0.173170 
9422.4089 -0.171449 
9428.5567 -0.170058 
9434.7046 -0.168905 
9440.8524 -0.167592 
9447.0003 -0.166364 
9453.1481 -0.165412 
9459.2960 -0.164410 
9465.4439 -0.163332 
9471.5917 -0.162467 
9477.7396 -0.161747 
9483.8874 -0.160904 
9490.0353 -0.159751 
9496.1831 -0.158332 
9502.3310 -0.157071 
9508.4789 -0.156147 
9514.6267 -0.155230 
9520.7746 -0.154236 
9526.9224 -0.153265 
9533.0703 -0.152017 
9539.2181 -0.150114 
9545.3660 -0.147816 
9551.5138 -0.146075 
9557.6617 -0.145312 
9563.8096 -0.144721 
9569.9574 -0.143616 
9576.1053 -0.142116 
9582.2531 -0.140346 
9588.4010 -0.138437 
9594.5488 -0.136820 
9600.6967 -0.135889 
9606.8445 -0.135466 
9612.9924 -0.134624 
9619.1403 -0.132828 
9625.2881 -0.130865 
9631.4360 -0.129562 
9637.5838 -0.128590 
9643.7317 -0.127361 
9649.8795 -0.126042 
9656.0274 -0.125122 
9662.1752 -0.124462 
9668.3231 -0.123334 
9674.4710 -0.121304 
9680.6188 -0.118964 
9686.7667 -0.117470 
9692.9145 -0.116732 
9699.0624 -0.115379 
9705.2102 -0.113280 
9711.3581 -0.111668 
9717.5059 -0.110928 
9723.6538 -0.110341 
9729.8017 -0.109287 
9735.9495 -0.107950 
9742.0974 -0.106886 
9748.2452 -0.105972 
9754.3931 -0.104669 
9760.5409 -0.102908 
9766.6888 -0.101212 
9772.8367 -0.100055 
9778.9845 -0.098849 
9785.1324 -0.096867 
9791.2802 -0.094744 
9797.4281 -0.092940 
9803.5759 -0.090952 
9809.7238 -0.088881 
9815.8716 -0.087050 
9822.0195 -0.085287 
9828.1674 -0.083684 
9834.3152 -0.082419 
9840.4631 -0.081225 
9846.6109 -0.079635 
9852.7588 -0.077681 
9858.9066 -0.075967 
9865.0545 -0.074396 
9871.2023 -0.072222 
9877.3502 -0.069860 
9883.4981 -0.068395 
