#时间: 20240829 164945
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 32.549999
#干涉仪湿度: 53.120510
#激光波长: 790.795181
#动镜速度: 7.5k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
6200.9324 -0.367565 
6207.0803 -0.367486 
6213.2281 -0.367363 
6219.3760 -0.367145 
6225.5238 -0.366906 
6231.6717 -0.366709 
6237.8195 -0.366512 
6243.9674 -0.366289 
6250.1152 -0.366045 
6256.2631 -0.365783 
6262.4110 -0.365501 
6268.5588 -0.365188 
6274.7067 -0.364905 
6280.8545 -0.364698 
6287.0024 -0.364502 
6293.1502 -0.364299 
6299.2981 -0.364115 
6305.4459 -0.363938 
6311.5938 -0.363785 
6317.7417 -0.363652 
6323.8895 -0.363494 
6330.0374 -0.363295 
6336.1852 -0.363063 
6342.3331 -0.362847 
6348.4809 -0.362704 
6354.6288 -0.362631 
6360.7767 -0.362570 
6366.9245 -0.362459 
6373.0724 -0.362327 
6379.2202 -0.362227 
6385.3681 -0.362097 
6391.5159 -0.361927 
6397.6638 -0.361793 
6403.8116 -0.361686 
6409.9595 -0.361579 
6416.1074 -0.361470 
6422.2552 -0.361357 
6428.4031 -0.361250 
6434.5509 -0.361102 
6440.6988 -0.360882 
6446.8466 -0.360647 
6452.9945 -0.360408 
6459.1423 -0.360162 
6465.2902 -0.359930 
6471.4381 -0.359702 
6477.5859 -0.359469 
6483.7338 -0.359217 
6489.8816 -0.358965 
6496.0295 -0.358793 
6502.1773 -0.358662 
6508.3252 -0.358453 
6514.4730 -0.358173 
6520.6209 -0.357890 
6526.7688 -0.357621 
6532.9166 -0.357368 
6539.0645 -0.357152 
6545.2123 -0.356980 
6551.3602 -0.356787 
6557.5080 -0.356539 
6563.6559 -0.356276 
6569.8037 -0.355978 
6575.9516 -0.355638 
6582.0995 -0.355338 
6588.2473 -0.355121 
6594.3952 -0.354968 
6600.5430 -0.354817 
6606.6909 -0.354617 
6612.8387 -0.354404 
6618.9866 -0.354217 
6625.1345 -0.354073 
6631.2823 -0.353957 
6637.4302 -0.353795 
6643.5780 -0.353596 
6649.7259 -0.353435 
6655.8737 -0.353298 
6662.0216 -0.353145 
6668.1694 -0.352952 
6674.3173 -0.352722 
6680.4652 -0.352520 
6686.6130 -0.352350 
6692.7609 -0.352170 
6698.9087 -0.351993 
6705.0566 -0.351835 
6711.2044 -0.351667 
6717.3523 -0.351451 
6723.5001 -0.351257 
6729.6480 -0.351190 
6735.7959 -0.351106 
6741.9437 -0.350819 
6748.0916 -0.350478 
6754.2394 -0.350262 
6760.3873 -0.350133 
6766.5351 -0.350075 
6772.6830 -0.350016 
6778.8308 -0.349700 
6784.9787 -0.349035 
6791.1266 -0.348381 
6797.2744 -0.348223 
6803.4223 -0.348488 
6809.5701 -0.348659 
6815.7180 -0.348576 
6821.8658 -0.348451 
6828.0137 -0.348379 
6834.1616 -0.348321 
6840.3094 -0.348304 
6846.4573 -0.348392 
6852.6051 -0.348459 
6858.7530 -0.348343 
6864.9008 -0.348183 
6871.0487 -0.348098 
6877.1965 -0.347801 
6883.3444 -0.347182 
6889.4923 -0.346860 
6895.6401 -0.347192 
6901.7880 -0.347327 
6907.9358 -0.346682 
6914.0837 -0.346147 
6920.2315 -0.346378 
6926.3794 -0.346776 
6932.5272 -0.346886 
6938.6751 -0.346835 
6944.8230 -0.346819 
6950.9708 -0.347061 
6957.1187 -0.347500 
6963.2665 -0.347725 
6969.4144 -0.347604 
6975.5622 -0.347553 
6981.7101 -0.348032 
6987.8579 -0.348794 
6994.0058 -0.349394 
7000.1537 -0.350004 
7006.3015 -0.350606 
7012.4494 -0.350773 
7018.5972 -0.350861 
7024.7451 -0.351404 
7030.8929 -0.351665 
7037.0408 -0.351094 
7043.1887 -0.350994 
7049.3365 -0.352173 
7055.4844 -0.352862 
7061.6322 -0.351982 
7067.7801 -0.351540 
7073.9279 -0.352768 
7080.0758 -0.353484 
7086.2236 -0.352122 
7092.3715 -0.350365 
7098.5194 -0.349908 
7104.6672 -0.349969 
7110.8151 -0.350249 
7116.9629 -0.351880 
7123.1108 -0.353194 
7129.2586 -0.351384 
7135.4065 -0.349008 
7141.5543 -0.350429 
7147.7022 -0.352666 
7153.8501 -0.351143 
7159.9979 -0.348523 
7166.1458 -0.349049 
7172.2936 -0.351224 
7178.4415 -0.353061 
7184.5893 -0.354729 
7190.7372 -0.355049 
7196.8850 -0.353456 
7203.0329 -0.351951 
7209.1808 -0.351046 
7215.3286 -0.348592 
7221.4765 -0.344006 
7227.6243 -0.340021 
7233.7722 -0.340089 
7239.9200 -0.344506 
7246.0679 -0.350165 
7252.2157 -0.354253 
7258.3636 -0.356242 
7264.5115 -0.357023 
7270.6593 -0.357100 
7276.8072 -0.355787 
7282.9550 -0.353033 
7289.1029 -0.350457 
7295.2507 -0.349027 
7301.3986 -0.348250 
7307.5465 -0.347909 
7313.6943 -0.347602 
7319.8422 -0.346553 
7325.9900 -0.344813 
7332.1379 -0.342532 
7338.2857 -0.340556 
7344.4336 -0.341530 
7350.5814 -0.345386 
7356.7293 -0.348589 
7362.8772 -0.349507 
7369.0250 -0.349169 
7375.1729 -0.349520 
7381.3207 -0.351868 
7387.4686 -0.355191 
7393.6164 -0.357807 
7399.7643 -0.359527 
7405.9121 -0.360647 
7412.0600 -0.361355 
7418.2079 -0.362289 
7424.3557 -0.363611 
7430.5036 -0.364661 
7436.6514 -0.365245 
7442.7993 -0.365653 
7448.9471 -0.365871 
7455.0950 -0.365864 
7461.2428 -0.365797 
7467.3907 -0.365744 
7473.5386 -0.365687 
7479.6864 -0.365660 
7485.8343 -0.365679 
7491.9821 -0.365681 
7498.1300 -0.365635 
7504.2778 -0.365604 
7510.4257 -0.365589 
7516.5736 -0.365533 
7522.7214 -0.365471 
7528.8693 -0.365441 
7535.0171 -0.365400 
7541.1650 -0.365298 
7547.3128 -0.365144 
7553.4607 -0.365006 
7559.6085 -0.364942 
7565.7564 -0.364925 
7571.9043 -0.364865 
7578.0521 -0.364723 
7584.2000 -0.364585 
7590.3478 -0.364534 
7596.4957 -0.364469 
7602.6435 -0.364286 
7608.7914 -0.364078 
7614.9392 -0.363926 
7621.0871 -0.363769 
7627.2350 -0.363573 
7633.3828 -0.363367 
7639.5307 -0.363166 
7645.6785 -0.362992 
7651.8264 -0.362885 
7657.9742 -0.362823 
7664.1221 -0.362691 
7670.2699 -0.362424 
7676.4178 -0.362110 
7682.5657 -0.361876 
7688.7135 -0.361757 
7694.8614 -0.361698 
7701.0092 -0.361616 
7707.1571 -0.361475 
7713.3049 -0.361291 
7719.4528 -0.361077 
7725.6007 -0.360843 
7731.7485 -0.360596 
7737.8964 -0.360369 
7744.0442 -0.360189 
7750.1921 -0.360001 
7756.3399 -0.359733 
7762.4878 -0.359448 
7768.6356 -0.359251 
7774.7835 -0.359115 
7780.9314 -0.358964 
7787.0792 -0.358786 
7793.2271 -0.358624 
7799.3749 -0.358500 
7805.5228 -0.358371 
7811.6706 -0.358183 
7817.8185 -0.357954 
7823.9663 -0.357753 
7830.1142 -0.357613 
7836.2621 -0.357465 
7842.4099 -0.357208 
7848.5578 -0.356853 
7854.7056 -0.356536 
7860.8535 -0.356383 
7867.0013 -0.356352 
7873.1492 -0.356282 
7879.2970 -0.356105 
7885.4449 -0.355879 
7891.5928 -0.355656 
7897.7406 -0.355439 
7903.8885 -0.355232 
7910.0363 -0.355059 
7916.1842 -0.354879 
7922.3320 -0.354621 
7928.4799 -0.354301 
7934.6278 -0.353963 
7940.7756 -0.353654 
7946.9235 -0.353444 
7953.0713 -0.353339 
7959.2192 -0.353253 
7965.3670 -0.353093 
7971.5149 -0.352806 
7977.6627 -0.352466 
7983.8106 -0.352188 
7989.9585 -0.351991 
7996.1063 -0.351862 
8002.2542 -0.351779 
8008.4020 -0.351657 
8014.5499 -0.351404 
8020.6977 -0.351002 
8026.8456 -0.350558 
8032.9934 -0.350189 
8039.1413 -0.349892 
8045.2892 -0.349626 
8051.4370 -0.349387 
8057.5849 -0.349145 
8063.7327 -0.348854 
8069.8806 -0.348504 
8076.0284 -0.348186 
8082.1763 -0.348011 
8088.3241 -0.347920 
8094.4720 -0.347778 
8100.6199 -0.347552 
8106.7677 -0.347251 
8112.9156 -0.346895 
8119.0634 -0.346534 
8125.2113 -0.346204 
8131.3591 -0.345895 
8137.5070 -0.345582 
8143.6548 -0.345303 
8149.8027 -0.345094 
8155.9506 -0.344902 
8162.0984 -0.344675 
8168.2463 -0.344380 
8174.3941 -0.344007 
8180.5420 -0.343654 
8186.6898 -0.343382 
8192.8377 -0.343117 
8198.9856 -0.342829 
8205.1334 -0.342511 
8211.2813 -0.342150 
8217.4291 -0.341796 
8223.5770 -0.341481 
8229.7248 -0.341202 
8235.8727 -0.340934 
8242.0205 -0.340652 
8248.1684 -0.340372 
8254.3163 -0.340050 
8260.4641 -0.339658 
8266.6120 -0.339345 
8272.7598 -0.339165 
8278.9077 -0.338916 
8285.0555 -0.338514 
8291.2034 -0.338101 
8297.3512 -0.337758 
8303.4991 -0.337436 
8309.6470 -0.337111 
8315.7948 -0.336825 
8321.9427 -0.336586 
8328.0905 -0.336406 
8334.2384 -0.336286 
8340.3862 -0.336108 
8346.5341 -0.335786 
8352.6819 -0.335379 
8358.8298 -0.334948 
8364.9777 -0.334545 
8371.1255 -0.334176 
8377.2734 -0.333808 
8383.4212 -0.333501 
8389.5691 -0.333270 
8395.7169 -0.333030 
8401.8648 -0.332749 
8408.0127 -0.332416 
8414.1605 -0.332081 
8420.3084 -0.331854 
8426.4562 -0.331692 
8432.6041 -0.331504 
8438.7519 -0.331306 
8444.8998 -0.331107 
8451.0476 -0.330928 
8457.1955 -0.330787 
8463.3434 -0.330670 
8469.4912 -0.330578 
8475.6391 -0.330451 
8481.7869 -0.330244 
8487.9348 -0.330047 
8494.0826 -0.329874 
8500.2305 -0.329650 
8506.3783 -0.329408 
8512.5262 -0.329274 
8518.6741 -0.329274 
8524.8219 -0.329209 
8530.9698 -0.328920 
8537.1176 -0.328528 
8543.2655 -0.328160 
8549.4133 -0.327820 
8555.5612 -0.327568 
8561.7090 -0.327408 
8567.8569 -0.327203 
8574.0048 -0.326906 
8580.1526 -0.326672 
8586.3005 -0.326634 
8592.4483 -0.326673 
8598.5962 -0.326598 
8604.7440 -0.326400 
8610.8919 -0.326109 
8617.0398 -0.325769 
8623.1876 -0.325533 
8629.3355 -0.325415 
8635.4833 -0.325215 
8641.6312 -0.324792 
8647.7790 -0.324216 
8653.9269 -0.323668 
8660.0747 -0.323228 
8666.2226 -0.322863 
8672.3705 -0.322675 
8678.5183 -0.322778 
8684.6662 -0.322917 
8690.8140 -0.322780 
8696.9619 -0.322443 
8703.1097 -0.321978 
8709.2576 -0.321244 
8715.4054 -0.320443 
8721.5533 -0.319958 
8727.7012 -0.319721 
8733.8490 -0.319660 
8739.9969 -0.319868 
8746.1447 -0.319979 
8752.2926 -0.319600 
8758.4404 -0.319048 
8764.5883 -0.318831 
8770.7361 -0.318966 
8776.8840 -0.319090 
8783.0319 -0.318860 
8789.1797 -0.318057 
8795.3276 -0.316493 
8801.4754 -0.314474 
8807.6233 -0.313137 
8813.7711 -0.313403 
8819.9190 -0.314766 
8826.0668 -0.315951 
8832.2147 -0.316226 
8838.3626 -0.315619 
8844.5104 -0.314578 
8850.6583 -0.313634 
8856.8061 -0.313056 
8862.9540 -0.312867 
8869.1018 -0.312813 
8875.2497 -0.312431 
8881.3976 -0.311832 
8887.5454 -0.311429 
8893.6933 -0.310855 
8899.8411 -0.309901 
8905.9890 -0.309358 
8912.1368 -0.309622 
8918.2847 -0.310006 
8924.4325 -0.309958 
8930.5804 -0.309676 
8936.7283 -0.309431 
8942.8761 -0.309083 
8949.0240 -0.308507 
8955.1718 -0.308068 
8961.3197 -0.308118 
8967.4675 -0.308406 
8973.6154 -0.308508 
8979.7632 -0.308325 
8985.9111 -0.308054 
8992.0590 -0.307829 
8998.2068 -0.307564 
9004.3547 -0.307259 
9010.5025 -0.306976 
9016.6504 -0.306593 
9022.7982 -0.306072 
9028.9461 -0.305559 
9035.0939 -0.305122 
9041.2418 -0.304733 
9047.3897 -0.304382 
9053.5375 -0.304133 
9059.6854 -0.303968 
9065.8332 -0.303655 
9071.9811 -0.303173 
9078.1289 -0.302785 
9084.2768 -0.302534 
9090.4247 -0.302266 
9096.5725 -0.301915 
9102.7204 -0.301498 
9108.8682 -0.301038 
9115.0161 -0.300519 
9121.1639 -0.299923 
9127.3118 -0.299230 
9133.4596 -0.298391 
9139.6075 -0.297545 
9145.7554 -0.296975 
9151.9032 -0.296730 
9158.0511 -0.296683 
9164.1989 -0.296732 
9170.3468 -0.296729 
9176.4946 -0.296446 
9182.6425 -0.295832 
9188.7903 -0.295164 
9194.9382 -0.294629 
9201.0861 -0.294129 
9207.2339 -0.293678 
9213.3818 -0.293293 
9219.5296 -0.292822 
9225.6775 -0.292339 
9231.8253 -0.291986 
9237.9732 -0.291613 
9244.1210 -0.291144 
9250.2689 -0.290711 
9256.4168 -0.290319 
9262.5646 -0.289831 
9268.7125 -0.289314 
9274.8603 -0.288980 
9281.0082 -0.288705 
9287.1560 -0.288224 
9293.3039 -0.287654 
9299.4518 -0.287156 
9305.5996 -0.286641 
9311.7475 -0.286083 
9317.8953 -0.285498 
9324.0432 -0.284898 
9330.1910 -0.284403 
9336.3389 -0.284024 
9342.4867 -0.283665 
9348.6346 -0.283333 
9354.7825 -0.283063 
9360.9303 -0.282712 
9367.0782 -0.281991 
9373.2260 -0.280933 
9379.3739 -0.279976 
9385.5217 -0.279280 
9391.6696 -0.278681 
9397.8174 -0.278044 
9403.9653 -0.277318 
9410.1132 -0.276726 
9416.2610 -0.276491 
9422.4089 -0.276445 
9428.5567 -0.276308 
9434.7046 -0.275897 
9440.8524 -0.275145 
9447.0003 -0.274126 
9453.1481 -0.273106 
9459.2960 -0.272476 
9465.4439 -0.272245 
9471.5917 -0.272074 
9477.7396 -0.271872 
9483.8874 -0.271593 
9490.0353 -0.271032 
9496.1831 -0.270248 
9502.3310 -0.269425 
9508.4789 -0.268614 
9514.6267 -0.267891 
9520.7746 -0.267338 
9526.9224 -0.266956 
9533.0703 -0.266639 
9539.2181 -0.266183 
9545.3660 -0.265524 
9551.5138 -0.264877 
9557.6617 -0.264474 
9563.8096 -0.264228 
9569.9574 -0.263890 
9576.1053 -0.263407 
9582.2531 -0.262796 
9588.4010 -0.262067 
9594.5488 -0.261490 
9600.6967 -0.261207 
9606.8445 -0.260790 
9612.9924 -0.259957 
9619.1403 -0.259029 
9625.2881 -0.258362 
9631.4360 -0.258081 
